min;max;avg
-57753,26141610877;-22776,54386321563;-35089,06299122205
-57474,63514334109;-21417,985384617576;-31402,06088709754
-52320,29083342655;-17057,870766540604;-28767,204022130107
-41855,70050634445;-15048,540034850397;-26745,75244036433
-47679,013776872525;-15276,494282022184;-24580,743235192716
-35854,01910624583;-12708,30920154517;-22510,975579581667
-34533,424960303986;-13574,341688543995;-20908,293250236195
-34733,53520010329;-12735,757490115808;-19349,635202690682
-30569,453278887027;-11124,846190799246;-18098,822919199836
-29017,570357639255;-10831,93039687039;-16721,765621253384
-26637,864213208864;-10105,428663949358;-15421,081475961426
-24379,51739045378;-6706,596502603417;-13997,08663109887
-20126,341617601305;-6216,5718883635855;-12647,37094757666
-22122,73577208507;-6383,877140876117;-11620,292883870768
-20393,160152669603;-4655,22487761909;-10318,378502867046
-17312,96096855939;-3646,2767059304533;-8946,086531863826
-17630,746544344052;-3046,714651882132;-7774,773348345604
-15165,683999805733;-1970,394655582997;-6897,588688525657
-15544,726887603181;-1230,2973601540034;-5864,775622080238
-17842,483238286222;-135,7779705704379;-5189,279577374953
-11779,262519234922;727,174502294798;-4240,885231194761
-14266,209375713312;1722,4231390744535;-3216,665812673715
-11143,896607161245;2608,3991088241164;-2443,665837532781
-11047,290967776316;3993,825571170946;-1546,671075970844
-12132,322631386538;3171,133963947894;-791,4442939882595
-6551,109907965947;3896,8348781529494;-45,7513321449343
-7142,548252410968;5191,231096265932;698,3852357059836
-6963,79179042422;6070,05563523819;1449,4269499973207
-8663,874450960851;6076,097272471045;2124,285035570207
-7753,861007453728;7473,409813309434;2891,1387671639804
-3927,1376759226187;8042,886374498808;3738,896206490482
-3927,1376759226187;10024,482604241162;4819,34811335975
-4314,265505736919;10068,86435723482;5685,846353971194
4,5901968842954375;10029,525130077316;6460,758830803337
-2580,2228781628437;11381,0609558998;7204,000771668365
-907,5697466810525;11532,4482388584;8043,58235377552
-848,9225957842064;13008,34778585962;8871,435369119015
2277,0269179473507;12687,627802744577;9535,750564006657
2889,3435490837364;13534,97546910066;10311,634934901733
4823,703333810314;14119,950359638977;10880,700644439992
5365,206077627918;14590,885638851109;11450,07238142719
-1050,1450767567876;14590,885638851109;11876,866859926311
-325,6770657300731;15138,965085433163;12382,690488683389
7014,43157128691;15138,965085433163;12937,651694001812
6699,403510081;15601,182929224327;13386,96412695514
8330,41885700255;15601,182929224327;13664,958590133814
7144,59545649826;15815,587370184494;13898,998947051594
8844,644277173848;15948,024564926462;14312,71566658357
10755,475010703572;16228,717418818898;14573,372656951968
9855,514323242718;16805,126550771554;14824,013842056438
11530,840785307679;16730,18860445203;15131,426347252083
10410,23967634355;17116,45540296839;15358,347007682643
10408,51624101308;17116,45540296839;15523,967997450645
11706,31150979354;17116,45540296839;15750,95155185465
10528,168299345998;17116,45540296839;15885,607552592486
10329,706153374762;17225,52963793283;16056,765181053275
13268,971167986823;17225,52963793283;16218,00739426924
10203,475285417513;17414,23386956089;16227,731717545135
12671,876927354253;17414,23386956089;16350,406039367243
10528,168299345998;17414,23386956089;16316,748361020038
10131,223926861643;17602,935727889748;16454,483357168567
12671,876927354253;17602,935727889748;16437,8088359544
10925,106731851596;17602,935727889748;16509,318885876186
10131,223926861643;17602,935727889748;16485,265744029224
12273,773309844037;17602,935727889748;16571,753420856443
10528,168299345998;17602,935727889748;16656,97519209482
11875,665701910882;17602,935727889748;16811,393630030223
11875,665701910882;17602,935727889748;16764,841082950858
11875,665701910882;17602,935727889748;16841,408254565988
11875,665701910882;17602,935727889748;16869,89014003331
11875,665701910882;17602,935727889748;16963,161084940963
11875,665701910882;17602,935727889748;16967,74076680838
11875,665701910882;17602,935727889748;17017,114471238332
11875,665701910882;17602,935727889748;17049,83164118466
11875,665701910882;17602,935727889748;17002,787010541808
11875,665701910882;17602,935727889748;16991,49916607178
11875,665701910882;17602,935727889748;16958,619375002596
8940,35526328746;17602,935727889748;16890,59416582624
11875,665701910882;17602,935727889748;17049,43240846745
11875,665701910882;17602,935727889748;17030,583558994593
11875,665701910882;17602,935727889748;16897,318621618128
11875,665701910882;17602,935727889748;16848,648940432122
11875,665701910882;17602,935727889748;16915,173214072496
11875,665701910882;17602,935727889748;16961,448397932145
11875,665701910882;17602,935727889748;16880,655785270388
11875,665701910882;17602,935727889748;16875,670912843198
8940,35526328746;17602,935727889748;16760,398361940395
11875,665701910882;17602,935727889748;16837,935017023912
11875,665701910882;17602,935727889748;16855,89235535912
11875,665701910882;17602,935727889748;16951,219374325752
11875,665701910882;17602,935727889748;16859,778167131324
11875,665701910882;17602,935727889748;16727,1776876139
11875,665701910882;17602,935727889748;16909,479514077942
11875,665701910882;17602,935727889748;16827,46426873933
11875,665701910882;17602,935727889748;16902,33535020851
8940,35526328746;17602,935727889748;16936,724236277863
11875,665701910882;17602,935727889748;16852,190533248187
11875,665701910882;17602,935727889748;16907,343959914742
11875,665701910882;17602,935727889748;16923,96733958202
11875,665701910882;17602,935727889748;16839,584694910653
8940,35526328746;17602,935727889748;16842,92016654378
11875,665701910882;17602,935727889748;16840,17442879778
8940,35526328746;17602,935727889748;16800,567458680795
11875,665701910882;17602,935727889748;16897,555959725345
11875,665701910882;17602,935727889748;16778,91322944831
11875,665701910882;17602,935727889748;16845,01597002267
11875,665701910882;17602,935727889748;16813,70095153989
11875,665701910882;17602,935727889748;16889,62485801823
11875,665701910882;17602,935727889748;16920,274101421794
11875,665701910882;17602,935727889748;16910,776402122083
11875,665701910882;17602,935727889748;16754,646948820915
11875,665701910882;17602,935727889748;16819,089151444263
11875,665701910882;17602,935727889748;16892,67214400814
8940,35526328746;17602,935727889748;16843,81083698197
11875,665701910882;17602,935727889748;16814,245373239235
11875,665701910882;17602,935727889748;16977,83453744469
11875,665701910882;17602,935727889748;16815,114461659578
8940,35526328746;17602,935727889748;16797,141332527866
8940,35526328746;17602,935727889748;16758,35345594611
11875,665701910882;17602,935727889748;16722,75865781864
11875,665701910882;17602,935727889748;16687,23426784617
11875,665701910882;17602,935727889748;16688,523243599328
11875,665701910882;17602,935727889748;16760,052342790244
11875,665701910882;17602,935727889748;16694,453591189216
11875,665701910882;17602,935727889748;16709,42342855142
8940,35526328746;17602,935727889748;16672,576608928826
11875,665701910882;17602,935727889748;16676,07551498664
11875,665701910882;17602,935727889748;16760,54035597259
11875,665701910882;17602,935727889748;16763,495605570006
11875,665701910882;17602,935727889748;16599,768629100905
8940,35526328746;17602,935727889748;16691,316436522597
8940,35526328746;17602,935727889748;16711,995725090495
11875,665701910882;17602,935727889748;16612,257003980965
11875,665701910882;17602,935727889748;16677,38456132867
11875,665701910882;17602,935727889748;16636,581376175283
11875,665701910882;17602,935727889748;16604,82136672566
11875,665701910882;17602,935727889748;16653,82797278234
11875,665701910882;17602,935727889748;16653,189154551186
11875,665701910882;17602,935727889748;16669,808978038825
11875,665701910882;17602,935727889748;16679,51656766087
8940,35526328746;17602,935727889748;16595,160717194958
11875,665701910882;17602,935727889748;16688,327555071763
8940,35526328746;17602,935727889748;16792,332850256058
8940,35526328746;17602,935727889748;16559,674371189947
11875,665701910882;17602,935727889748;16773,2926513612
11875,665701910882;17602,935727889748;16746,69604239259
11875,665701910882;17602,935727889748;16719,349173685467
11875,665701910882;17602,935727889748;16700,664392101964
11875,665701910882;17602,935727889748;16715,05844328768
11875,665701910882;17602,935727889748;16646,378744440994
11875,665701910882;17602,935727889748;16662,441368723776
8940,35526328746;17602,935727889748;16806,15646019181
11875,665701910882;17602,935727889748;16820,710242269783
8940,35526328746;17602,935727889748;16845,72039488803
11875,665701910882;17602,935727889748;16773,268830767087
11875,665701910882;17602,935727889748;16844,484798916656
11875,665701910882;17602,935727889748;16801,382333308975
11875,665701910882;17602,935727889748;16750,901352137247
8940,35526328746;17602,935727889748;16797,09272535058
11875,665701910882;17602,935727889748;16824,16319737652
11875,665701910882;17602,935727889748;16861,83379151052
8940,35526328746;17602,935727889748;16797,244686969472
11875,665701910882;17602,935727889748;16786,885778436616
11875,665701910882;17602,935727889748;16851,03316898767
11875,665701910882;17602,935727889748;16841,3186738817
11875,665701910882;17602,935727889748;16763,75728272402
11875,665701910882;17602,935727889748;16887,640293108583
11875,665701910882;17602,935727889748;16753,109076208268
11875,665701910882;17602,935727889748;16801,66655124722
11875,665701910882;17602,935727889748;16887,282160296065
11875,665701910882;17602,935727889748;16961,821862977435
11875,665701910882;17602,935727889748;16921,213629842656
11875,665701910882;17602,935727889748;16893,43808707999
11875,665701910882;17602,935727889748;16817,922594342646
11875,665701910882;17602,935727889748;16771,447278933283
11875,665701910882;17602,935727889748;16834,167429503686
11875,665701910882;17602,935727889748;16871,931709806588
11875,665701910882;17602,935727889748;16838,644408126474
11875,665701910882;17602,935727889748;16833,759615511717
11875,665701910882;17602,935727889748;16793,927998664574
11875,665701910882;17602,935727889748;16868,909272833775
11875,665701910882;17602,935727889748;16840,397517813533
11875,665701910882;17602,935727889748;16921,884216856408
11875,665701910882;17602,935727889748;16967,416080130835
11875,665701910882;17602,935727889748;16968,37163433665
8940,35526328746;17602,935727889748;16928,3969111712
11875,665701910882;17602,935727889748;17018,512305737593
11875,665701910882;17602,935727889748;16892,352054371855
11875,665701910882;17602,935727889748;16842,524561692935
11875,665701910882;17602,935727889748;16888,37370688972
11875,665701910882;17602,935727889748;16825,15164742147
11875,665701910882;17602,935727889748;16860,175495710544
11875,665701910882;17602,935727889748;16740,68539162459
11875,665701910882;17602,935727889748;16821,43393688492
11875,665701910882;17602,935727889748;17010,846952102795
11875,665701910882;17602,935727889748;16803,760982937994
11875,665701910882;17602,935727889748;16754,015502003163
11875,665701910882;17602,935727889748;16777,78051873507
11875,665701910882;17602,935727889748;16804,487928832386
8940,35526328746;17602,935727889748;16717,365774071473
11875,665701910882;17602,935727889748;16837,398546869717
11875,665701910882;17602,935727889748;16755,155054056333
11875,665701910882;17602,935727889748;16852,388961965626
8940,35526328746;17602,935727889748;16708,534864968744
11875,665701910882;17602,935727889748;16758,53033472891
8940,35526328746;17602,935727889748;16775,224111315678
11875,665701910882;17602,935727889748;16792,87420537423
11875,665701910882;17602,935727889748;16758,186663387303
11875,665701910882;17602,935727889748;16804,579833691783
