min;max;avg
-257306,231909769;-128001,16917411491;-167412,57249500186
-199964,0525909595;-122893,60006868746;-157022,13165468042
-202957,78639798993;-122893,60006868746;-148595,07625549217
-183722,1753333954;-122893,60006868746;-142078,6753084433
-182623,5123692939;-114347,72572205137;-137020,6900510239
-172814,7597709646;-112004,38497674218;-130739,53711701446
-172814,7597709646;-107507,63744450561;-122110,05608891408
-154109,9268593053;-104843,318309883;-119552,85672558848
-142901,83810433754;-100523,28515802411;-116956,15067017684
-135459,34779128915;-99228,78515976925;-112081,9395335636
