min;max;avg
-227598,94788712898;-125521,0155878904;-166358,18361894044
-191146,09778641083;-125521,0155878904;-153774,25054453482
-233168,4791085727;-118333,83032620809;-149620,51532115304
-177910,30310210888;-112406,28726130733;-138094,86548702637
-161092,29070575614;-112332,68227753567;-131181,90412832348
-156443,34135963785;-111357,66578995221;-128635,82796526104
-158592,07910415434;-106188,58530407737;-124175,7081134137
-139783,0072523771;-103654,10916592198;-117556,34197652819
-139905,25868802157;-98827,99391194846;-113647,01036107527
-137082,23690475716;-98335,7985849286;-111226,75050133813
