min;max;avg
-206294,01492819918;-132548,39774840506;-164522,31239748225
-199510,89098211363;-116613,2281938942;-155048,82777691737
-181471,53823217968;-106774,7483958464;-148535,74975302187
-201068,15433567122;-106692,92737609471;-141476,3371400186
-161779,54911207993;-106692,92737609471;-132142,41039535453
-161680,94357776913;-104671,58348531942;-125554,53959045293
-164168,66828678906;-99395,61049096663;-118661,15604702936
-130686,5991780282;-99124,75205229958;-112216,27798656274
-137358,4038624239;-99124,75205229958;-110325,59459222083
-137358,4038624239;-97993,65128183921;-109568,73912316725
