min;max;avg
-82969,98426512298;-26460,101000496295;-38337,78876159376
-63312,0228214035;-24386,634064234095;-35003,802798657714
-64993,4058760147;-22314,598871497175;-32742,983157646348
-53424,27242449038;-20335,943708461848;-30663,351602562045
-59551,38350683873;-17872,14516873377;-28744,48149039781
-42320,44106475182;-17872,14516873377;-26647,84606994626
-42882,60789566147;-17012,31943868923;-24680,562031838068
-43425,44611407924;-15189,030380317505;-23373,24844304062
-41562,14012027644;-15745,912062372015;-22255,649874945844
-41059,06518381132;-14723,04009525221;-20817,73842547423
-40914,14132042483;-13086,341751497333;-19726,276159978264
-37206,02088117063;-10604,062512508666;-18650,10769099923
-37897,65184668949;-9747,96113239319;-17725,13615433958
-37206,02088117063;-10604,062512508666;-16427,08623916228
-28569,494947070307;-9357,681407528828;-15495,831073375397
-27521,169413746713;-7148,206492331825;-14695,078706386408
-29223,662933557134;-7846,566241783512;-13544,393388116532
-29019,122148697898;-6106,450249748639;-12580,689810432787
-26561,260266699654;-5918,105395294006;-11608,756044103622
-28878,066017837955;-5123,671559583403;-10857,976846913421
-28878,066017837955;-3687,752716647832;-9561,207580036491
-17335,92893519467;-3687,752716647832;-8494,019479904722
-20788,773206018668;-3418,3214764579607;-7670,9013272581715
-18063,100964089594;-2411,2139056353953;-7092,191790835628
-17023,171205257393;-1598,3484435808605;-6538,896381074535
-19031,41126392503;-730,0809627192721;-5762,712767814597
-17960,446954134226;-626,2989091945856;-5111,024524159687
-17717,87042995789;102,5031288990067;-4654,746813850856
-18627,85182187549;490,3776651322696;-4108,792707548592
-13279,014208465225;1793,4782624430845;-3344,418529316442
-15426,70302558779;2513,285920486327;-3020,3231767084394
-11835,306456669881;2513,285920486327;-2626,4912499604848
-14207,632540756007;2513,285920486327;-2286,9219692064466
-14755,364321027148;3940,2019264894698;-1634,0436849519986
-19002,749055003464;4937,211707228562;-871,6806088218726
-14502,403518785664;4937,211707228562;-127,27814351352939
-9664,773850246544;7118,031283922941;106,21425698007673
-18529,41189524393;7118,031283922941;427,0976565847616
-13805,976320836315;7118,031283922941;992,9953725200872
-12490,77227399173;7118,031283922941;1509,5635375662782
-14231,269244329713;7896,223409111793;1888,8031101483084
-12904,212527792166;9466,652817588292;2694,3224358703096
-7309,748467831814;9466,652817588292;3255,163531953111
-6308,98990985319;9782,00452260609;3834,350014396183
-18242,429057057496;11166,579268445435;4890,6824438220465
