min;max;avg
-834908,3650649274;-409092,14913338725;-565646,3648549377
-744444,991388092;-339639,38686526497;-492352,63518817874
-691723,5540521077;-322606,707809438;-447864,6954737821
-567014,8951730946;-281906,83682428324;-407560,13243585173
-522421,6413517342;-265759,6081616009;-365546,0661402644
-553987,1492077293;-218207,16893783398;-332675,3399725244
-553987,1492077293;-203311,3724861727;-302829,9049728417
-492181,62493904924;-159168,63772554288;-283097,7563685166
-533743,7599557234;-158339,3532891171;-247693,56131995702
-410292,06696259463;-155487,8614877793;-226425,80254528663
-392435,2103089449;-151882,75420026178;-209132,27480537197
-509765,68512342277;-143309,91208303953;-232127,2060205445
-536171,1221492869;-138216,57636400685;-219774,9858121398
-409918,19584844273;-137897,72244443372;-195155,1514478973
-403050,16101852665;-124983,50310384284;-177519,23417584974
-340878,87546147977;-118285,54743512662;-161508,09153303545
-295650,25865809317;-105750,43599816039;-153383,8268946656
-284038,7436550247;-104703,21609098738;-137106,66860857615
-303925,3182741862;-91093,41294373525;-136098,13935428413
-312334,93633108307;-83277,68987857638;-139192,50596352085
-245386,24303995504;-77673,22016748408;-127940,98418441579
-307498,03584272263;-66115,72400520585;-113020,16355455726
-227009,60890611704;-66115,72400520585;-101027,63456620408
-216804,75598581776;-62975,537201004976;-98125,39905613422
-251314,56373059354;-59251,904824114055;-92449,63240571915
-236153,59687903104;-55665,48670833028;-87798,16553897446
-256309,16659369238;-51065,82133666583;-82458,897577122
-215199,727825596;-51065,82133666583;-75068,10634457196
-434554,48988206836;-48324,71419814596;-93988,72889339917
-569462,6395096896;-48324,71419814596;-163857,70602665274
-673890,2623498349;-45793,656865400204;-209904,51750987148
-416263,4074900821;-45125,10523815174;-141846,34052311978
-515514,12580031634;-42647,88432598789;-100483,63229962529
-238584,93657592777;-24804,988966891135;-83122,58634846337
-230774,91069968697;-24804,988966891135;-60406,26509224903
-114552,79578899802;-11680,199170961394;-50408,15683268397
