min;max;avg
-790215,28230116;-402629,73855735967;-565507,2428042779
-670303,24502499;-360605,8859549145;-497455,28689593176
-612455,8473474181;-354314,71942054154;-439738,41318719083
-616871,6475745707;-339837,47755680094;-404419,92034830095
-603303,9324094641;-297121,75732882915;-381610,7544823321
-544293,8084097923;-271265,14588203235;-357367,3130693723
-497612,91297533724;-255586,8826168581;-331678,9238842623
-516696,90170495526;-241646,26299607975;-321715,66798296064
-516696,90170495526;-201810,63464320067;-299960,2714845361
-409225,94983586983;-177536,71447753324;-268389,39414246054
-385659,750443673;-168936,5946966873;-244152,88049457083
-425367,6396544698;-165969,2407426095;-221134,17485696878
-425367,6396544698;-161322,60690746375;-207990,43763146125
-341514,08672369574;-142838,65792740893;-192577,71501952413
-333714,6460719092;-140431,4536972097;-174988,9666664992
-285084,9976066608;-133392,7954913401;-167331,4388552812
-296400,7103671052;-110868,59870856878;-164364,83705920645
-281841,66291601025;-104608,33249528514;-160483,7780879648
-362998,8339401119;-96448,58846286515;-153765,10961752714
-273255,7064654981;-88510,22192442307;-135262,06658404547
-280635,03187825857;-78894,86736443685;-122363,9320691121
-222058,71956467628;-75723,64057532052;-114062,19668761468
-243082,51332093193;-70020,50651576772;-111289,90248302615
-259042,4309971889;-63878,9916990255;-96513,54205847337
-220448,0360376453;-47377,37196632993;-86376,31818485924
-269147,0737855127;-31889,53035904671;-79543,90431120183
-281796,013408975;-30459,69902022608;-76410,22598995511
-281796,013408975;-30063,09193968313;-65601,64114436998
-178421,52957260923;-26038,321185499197;-50152,975407261976
-116851,90209214139;-22468,244627134467;-43972,29699512
-151518,1958138981;-16220,579162871232;-48615,077733344086
-208746,87021771702;-13312,089806200704;-49378,246976850525
-202070,9556358658;-13312,089806200704;-51490,910752815966
-208778,1697218452;-5315,800479604048;-38856,56420862226
-272192,80544628843;-4430,17529726139;-40357,01309452895
-340727,18584671104;-4430,17529726139;-36800,76794851184
-118338,92555527529;2068,550478597812;-26001,2432893784
-150003,58138737537;18502,773358457198;-27942,13172603116
-320291,9650421116;18502,773358457198;-37049,126350309976
-320291,9650421116;19499,29237435374;-26813,22243171899
-221315,1009709841;20752,136617781245;-20224,013192821036
-221315,1009709841;22218,911153228255;-4226,073163117602
-179306,3460174367;28149,66543427715;-2638,541975700086
-169355,98584045027;28149,66543427715;-1862,8303049925182
-247513,6199494789;30451,136503712158;-14840,345855808611
-306299,70515973517;33388,08146950393;-15015,649715582558
-262899,87544419663;35328,566064128594;10901,810498263172
-120254,34447130305;37108,99379228597;9496,358924282718
-146165,33994082175;42311,5458288301;5080,308534606809
-155211,08379804506;45406,372917048866;5416,167490510727
-139972,34839823935;46779,11345825443;17820,630650989446
-70827,4412351757;52447,61988974904;27370,16636216707
-49453,40461943898;63105,78519622289;31987,975273825232
-69402,56324431184;57344,56282149081;30065,48962882603
-65795,32851597632;57344,56282149081;33118,98968781094
-68347,63764132932;58578,14202611556;31587,032379168457
-87957,85506417911;59578,649060319935;36341,71368951341
-118533,71282840066;63788,41591412033;24570,462590327
-186860,96391811152;63788,41591412033;32754,98232903331
-114615,97973358631;67604,34938700288;45326,90328665136
-57568,82207704673;71507,04104865721;48689,62932530705
-82569,70100842603;74453,18315541837;41052,41598923138
-66333,93831566005;76421,48364956875;49693,243246104685
-58437,913857147156;82592,59533524688;57932,180759657254
-68664,65297031362;83731,24983020202;54263,44651865422
-133752,3477614742;84729,29699103575;55064,41754716079
-87643,40196230827;87743,65797962958;63308,64254548315
-126600,47120761545;88722,53488236538;67140,09989565663
-38784,39449555578;88722,53488236538;64299,33010493799
-180695,81419756857;88722,53488236538;54105,27371047575
-180695,81419756857;92340,48166934901;64786,32488025987
-58635,13397629571;92340,48166934901;69747,79783797369
-77771,18798349606;96871,41932463576;73590,5151201879
4045,8097234831657;96871,41932463576;79169,72801384765
-56518,96695847192;96871,41932463576;76722,56926107114
