min;max;avg
-1060195,90529594;-502631,89333489654;-725937,0012236118
-1029314,0937484114;-475746,1002119755;-640074,9328118226
-873411,8023984625;-451145,3544579097;-578464,2186771816
-770919,8499374422;-375458,53842117975;-522929,47509449505
-758484,3108497193;-354932,06795978034;-492800,3817924147
-768765,3377650979;-343582,00606906274;-445316,58061468427
-584918,7399874944;-331998,6893767989;-400124,90734423057
-553820,0423264145;-330595,5824274182;-380972,25916680833
-647635,2951832698;-298578,33167053014;-369349,45690214634
-540528,324013561;-298578,33167053014;-351599,82719597366
-659754,7505599778;-273040,14382727345;-340311,7759055084
-519010,4871297135;-273040,14382727345;-331241,6734672487
-732259,372961956;-265390,55777974986;-337793,60369503667
-796827,1990761992;-265390,55777974986;-315211,77640327637
-545133,431558101;-254122,74420843035;-304656,4820681854
-614167,6212834638;-254122,74420843035;-312015,553733998
-626685,7498974655;-244905,45027714048;-304142,21928501624
-431129,22616766;-237510,2582872766;-279232,5746228883
-457383,58610214316;-229326,18919988087;-277667,11460397963
-431903,48456451274;-221907,40155989223;-272238,4586085017
-407684,9855938491;-210700,34420585318;-258671,98449278862
-414502,04080843274;-210700,34420585318;-258012,41433813775
-412904,548096198;-205289,90568522445;-257608,1929359901
-377613,6775179071;-200737,29521777155;-239954,80695105155
-414397,0803545797;-200737,29521777155;-236305,33551245884
-519431,62632128294;-200380,48344017647;-246510,74540222203
-601137,3649858376;-190582,45223488403;-243096,6854722219
-422119,8144229377;-191119,0796472953;-226930,03110794423
-360550,5970802397;-179334,1182766339;-215262,28355563723
-406379,6258514734;-179334,1182766339;-219109,13057533692
-520365,43789771176;-170644,73611364374;-228023,58446942104
-569915,0609091733;-169772,79619253444;-226523,22849015627
-496888,0825957899;-161922,0118013305;-207817,96318433798
-372724,9456611242;-161922,0118013305;-199822,92198688685
-389610,08860600507;-161922,0118013305;-196401,78740607618
-376884,5269951378;-157934,02386360167;-182912,3624658667
-323967,07003579056;-156705,88475614804;-176148,13328105368
-299164,9983976721;-156705,88475614804;-176182,16299122648
-312002,8555302824;-155153,42194343795;-177023,2605004538
-341468,39519129053;-153734,60560518864;-182581,0144653944
-350104,67590805853;-153734,60560518864;-174408,87004403066
-328767,6818091137;-146722,32207311835;-172335,1321186745
-328767,6818091137;-146722,32207311835;-170487,17992846458
-337674,75338895223;-145462,74694625597;-171593,3866763552
-329075,9049497114;-141435,21456044924;-170428,73279114265
-332439,3017349867;-141435,21456044924;-170070,3952161133
-332547,26695630496;-138550,61131042684;-166262,1059178706
-310840,79145517584;-138550,61131042684;-162405,2211434253
-380329,59394680767;-137052,78843110002;-169740,59962767758
-348236,30514780234;-129997,5592127429;-157691,86759327757
