min;max;avg
-999722,689428719;-518703,2646856073;-736628,973182048
-878700,4083144402;-491771,4173756018;-650073,2687219784
-798367,5815017612;-408436,2386036536;-578454,8870727548
-778992,7223741795;-389168,43001326895;-529667,7045142547
-731635,9074654828;-369412,1735010309;-494402,11283406103
-678887,576939888;-354342,7051769936;-440890,8246770016
-601417,2584021878;-339949,35755593155;-406010,68034877745
-542184,4964658478;-326590,9911365119;-384302,451255053
-748627,842348343;-314071,6947221335;-384703,42020308785
-866808,6363176575;-299662,31081731647;-368934,4698530409
-534600,3706205363;-298992,1736632119;-340121,6718995459
-437778,6781064549;-280401,66299857234;-328138,8011239849
-453282,6668919171;-265353,10846408154;-324271,88647003553
-465907,0069841505;-252465,75219559827;-313726,67220742337
-478918,0390524104;-251238,24608225346;-307496,3191018162
-460853,3745544787;-238915,5637187641;-287834,770844595
-521351,92391156463;-238915,5637187641;-279042,9565779926
-521351,92391156463;-226856,15176821052;-278248,4634957839
-563053,8075103083;-214644,27285055973;-276217,8110914098
-584675,4943986024;-197397,36402386084;-266074,5261493012
-506491,56379601767;-183583,89828735596;-259469,455989486
-479683,5027471011;-183583,89828735596;-246087,98109059583
-412046,09195807844;-183521,66583895648;-226412,18107235554
-358626,1693900763;-180371,11901890516;-221954,14943859045
-503742,06996003725;-172681,55379166245;-224802,4401339862
-636752,298830595;-172681,55379166245;-229614,7596841332
-570818,9086864344;-164821,12065915467;-202896,77113397286
-317156,56752280885;-164821,12065915467;-187200,16037814665
-307472,10237571306;-162590,3214749245;-186880,09406127033
-343357,2609383885;-156665,51204817247;-192816,07202328375
-342623,81649182306;-152685,72537023487;-195402,0502380533
-355864,7464468522;-152685,72537023487;-188655,9578749663
-362969,434586455;-152685,72537023487;-178028,82206813848
-297494,14173993986;-146548,25861764594;-171873,6786266347
-376256,08325415745;-146548,25861764594;-181086,6863478861
-393518,68580614694;-144293,63897720695;-176708,14285198122
-393518,68580614694;-144293,63897720695;-168529,12137755952
-269801,4148342373;-140305,92856444762;-161306,41953343965
-346178,20831166813;-136659,99228767864;-162461,6871817865
-284997,3958071071;-136659,99228767864;-162393,7472849398
-337191,63620870456;-131106,1397181612;-161260,48179139584
-409748,32053494174;-127696,8334579512;-171620,5895138516
-446904,94630169636;-126782,47913931747;-169993,914505993
-433369,97445230663;-126770,0454031725;-153380,53176751337
-261652,42434836604;-123143,08069674991;-154824,43947547206
-267093,9331649741;-123033,42789479368;-148935,47555406604
-260177,47545797337;-119289,04373697354;-139523,90227387083
-216234,95962428924;-116028,52457666578;-136380,4876482183
-234884,11822901363;-115515,00715228083;-138074,1807487123
-302942,8095353606;-111089,28963427391;-146251,1126427335
-347481,6852886705;-111089,28963427391;-143899,90484246996
-252115,40626677632;-108279,22174925654;-130223,86705276721
-221538,4736918116;-108279,22174925654;-129126,15614157023
-224261,301585156;-106118,70523766009;-123624,31266009099
-275939,8256219942;-106118,70523766009;-127325,6841119176
-277595,48439020105;-105731,35956969141;-131531,8575204612
-356805,8002062754;-104955,76975211408;-137999,8519096446
-317020,0596087632;-104955,76975211408;-145472,57437439958
-333273,6711943953;-104118,11461627187;-133289,54937954582
-270466,94123306754;-103523,56691827753;-120535,47049842212
-194169,60855719668;-102079,58462224435;-119154,84208994877
-291295,851020458;-102079,58462224435;-129069,59548265336
-374222,14618682;-102021,37351598206;-162158,77521870864
-437159,7330822954;-100467,74461738067;-169683,53921181196
-489529,47230958485;-98185,37605135696;-146769,0534930146
-397071,4084277989;-98185,37605135696;-127215,77974227643
-270678,71464472;-94692,11356022372;-119596,75628506196
-233219,20354038145;-93830,51450052281;-117875,47917748461
-230330,23700880114;-93830,51450052281;-114785,00090248484
-303896,76276865165;-90675,67562889744;-121233,13455684562
-334748,34078108985;-89304,55429950025;-119018,21703950566
-337756,65509085986;-89304,55429950025;-122514,20447677023
-337756,65509085986;-87331,49330366397;-109852,24286001033
-315763,95057846664;-87331,49330366397;-106359,81862011256
-212321,40015674318;-87331,49330366397;-109961,4083362952
-243818,0050554669;-85475,19178946991;-110700,7053781922
-235476,86085075833;-85475,19178946991;-104578,99825266111
-317077,5235357796;-83194,19694424124;-108943,32519691037
-306315,1939021726;-83194,19694424124;-107318,96007438435
-324787,11626405467;-83194,19694424124;-110609,00416399514
-316307,6239650132;-82972,77727432351;-110836,4124165928
