min;max;avg
-982853,2457728125;-492105,06442561466;-731771,4471629327
-962918,7581400687;-444357,8604801458;-649084,3790643411
-858456,3003832782;-391852,8493083116;-578899,5304971008
-824340,198083991;-391852,8493083116;-532930,4573836429
-697688,5712244048;-354779,27060297085;-491938,4833865722
-1057295,313747446;-300425,1269925938;-476813,072983503
-833902,5219753544;-282699,2941860246;-443628,6134660838
-745987,9584266123;-282699,2941860246;-380544,4479515044
-527273,5417002758;-276887,2285259984;-347978,46380057314
-683625,9943593016;-256957,7209263891;-336745,01750923524
-864757,2371857385;-241836,32271094562;-341293,5586374716
-763289,2545167039;-241836,32271094562;-300611,536781595
-528381,2817138415;-227179,1290541301;-273204,7012449731
-470775,7941356347;-227179,1290541301;-265391,41567593045
-511168,74368790945;-219857,47135225357;-257489,9460215192
-394278,26170985494;-211301,57206632278;-246622,55472326488
-347977,62913255405;-204986,573838001;-238351,79832069622
-375298,64884254;-202981,9771942114;-235816,58653046633
-371868,6207070218;-202981,9771942114;-234589,51124124895
-552933,2120254419;-197619,43319007417;-233086,261631705
-649304,2234602268;-189651,4826187981;-229499,51650119948
-649304,2234602268;-183613,74308981904;-218748,52124343137
-373275,3612173083;-181931,5110837823;-217657,90442132606
-391603,39903945674;-175860,62017477606;-212013,8471121268
-325840,8791040027;-168061,1450238544;-209229,0170265143
-507193,43352720956;-162548,2626176944;-208647,07436015492
-507193,43352720956;-161381,19516440097;-200760,3609672488
-601720,1702368365;-151059,3041708817;-199440,2020442325
-395458,8386189656;-151059,3041708817;-185107,90450213602
-497633,57451262965;-151059,3041708817;-191194,390651626
-477235,6305889125;-151052,70685764385;-176281,23140813876
-315868,1330670038;-149472,14173067547;-167691,54433653675
-303874,6674766252;-143694,91003643512;-166058,18155499757
-303298,9653085421;-141632,03275539423;-165832,0016368492
-290825,340459878;-141632,03275539423;-168047,8694236006
-337963,04862276395;-137022,37431938545;-178826,4576110583
-451442,3812003012;-137022,37431938545;-194130,48008221746
-681892,0685120876;-133728,73055417702;-220323,17660689863
-757460,6952857737;-132492,58329042455;-164436,79493954295
-285059,6505234157;-129529,67282510671;-150762,00681419423
-301286,56121103175;-125095,38203157636;-152525,304353196
-279547,7497224181;-125095,38203157636;-149957,02124408525
-284806,6296708697;-119093,59342155699;-148517,3322345128
-370150,3894505324;-119093,59342155699;-157850,8056245755
-440783,5058681399;-119093,59342155699;-155530,60047722634
-374114,0463400447;-119093,59342155699;-137280,17569559097
-361750,1247207057;-119093,59342155699;-134538,02423141897
-268425,9910405598;-116681,46886370901;-132220,94003117608
-251922,27772632265;-115204,17481407116;-130519,73652766597
-225766,5713681312;-115204,17481407116;-128839,84684547073
-189875,8867054545;-115204,17481407116;-127674,45929157101
-233474,02014626155;-111185,79182085604;-130165,47452059522
-240244,96182923584;-111185,79182085604;-129022,02011358828
-221157,9880975106;-110811,37937258405;-126368,0749335842
-235399,7178087858;-109264,71683274419;-130274,56283800925
-316412,6733196822;-109264,71683274419;-139436,88108781824
-564159,927325442;-105149,70366139268;-172172,26250161647
-777770,5506428792;-103382,886624826;-174438,4580707805
-471854,58481418854;-103382,886624826;-142344,1448408156
-393571,7669595338;-103382,886624826;-127103,3547647086
-397562,9516669448;-103382,886624826;-118652,28492951494
-221955,57341715164;-103382,886624826;-117119,88215044573
-253723,91383285524;-99697,5413749661;-117454,35268027567
-318742,02690965973;-99697,5413749661;-116930,5385922312
-318742,02690965973;-101773,23024623079;-121473,77155288181
-323848,18444142095;-101773,23024623079;-115831,61501205545
